timestamp,container,cpu_percent,mem_usage,run_number,scenario
2026-04-11 07:49:34,docker_auth_2,1.25%,1.193GiB / 7.751GiB,1,150vus
2026-04-11 07:49:34,docker_image_2,24.73%,566.3MiB / 7.751GiB,1,150vus
2026-04-11 07:49:34,docker_recommender_2,4.62%,510.5MiB / 7.751GiB,1,150vus
2026-04-11 07:49:34,docker_persistence_1,94.18%,538.6MiB / 7.751GiB,1,150vus
2026-04-11 07:49:34,docker_webui_1,99.79%,1.138GiB / 7.751GiB,1,150vus
2026-04-11 07:49:34,docker_recommender_1,0.22%,634.7MiB / 7.751GiB,1,150vus
2026-04-11 07:49:34,docker_image_1,1.00%,735.2MiB / 7.751GiB,1,150vus
2026-04-11 07:49:34,docker_auth_1,39.13%,796.3MiB / 7.751GiB,1,150vus
2026-04-11 07:49:34,docker_registry_1,0.67%,218.1MiB / 7.751GiB,1,150vus
2026-04-11 07:49:34,docker_db_1,5.74%,31.67MiB / 7.751GiB,1,150vus
2026-04-11 07:49:46,docker_auth_2,0.24%,1.193GiB / 7.751GiB,1,150vus
2026-04-11 07:49:46,docker_image_2,17.85%,567MiB / 7.751GiB,1,150vus
2026-04-11 07:49:46,docker_recommender_2,3.90%,508.8MiB / 7.751GiB,1,150vus
2026-04-11 07:49:46,docker_persistence_1,26.16%,483.7MiB / 7.751GiB,1,150vus
2026-04-11 07:49:46,docker_webui_1,54.27%,1.137GiB / 7.751GiB,1,150vus
2026-04-11 07:49:46,docker_recommender_1,2.51%,634.2MiB / 7.751GiB,1,150vus
2026-04-11 07:49:46,docker_image_1,3.10%,734.5MiB / 7.751GiB,1,150vus
2026-04-11 07:49:46,docker_auth_1,27.03%,789.7MiB / 7.751GiB,1,150vus
2026-04-11 07:49:46,docker_registry_1,0.78%,218.2MiB / 7.751GiB,1,150vus
2026-04-11 07:49:46,docker_db_1,2.04%,33.09MiB / 7.751GiB,1,150vus
2026-04-11 07:49:58,docker_auth_2,0.42%,1.192GiB / 7.751GiB,1,150vus
2026-04-11 07:49:58,docker_image_2,12.13%,568.3MiB / 7.751GiB,1,150vus
2026-04-11 07:49:58,docker_recommender_2,4.41%,508MiB / 7.751GiB,1,150vus
2026-04-11 07:49:58,docker_persistence_1,22.06%,501.1MiB / 7.751GiB,1,150vus
2026-04-11 07:49:58,docker_webui_1,44.55%,1.137GiB / 7.751GiB,1,150vus
2026-04-11 07:49:58,docker_recommender_1,2.30%,635MiB / 7.751GiB,1,150vus
2026-04-11 07:49:58,docker_image_1,3.16%,733.2MiB / 7.751GiB,1,150vus
2026-04-11 07:49:58,docker_auth_1,24.20%,789.5MiB / 7.751GiB,1,150vus
2026-04-11 07:49:58,docker_registry_1,0.59%,218.3MiB / 7.751GiB,1,150vus
2026-04-11 07:49:58,docker_db_1,1.76%,32.93MiB / 7.751GiB,1,150vus
2026-04-11 07:50:11,docker_auth_2,29.09%,1.191GiB / 7.751GiB,1,150vus
2026-04-11 07:50:11,docker_image_2,10.66%,568MiB / 7.751GiB,1,150vus
2026-04-11 07:50:11,docker_recommender_2,2.14%,511.8MiB / 7.751GiB,1,150vus
2026-04-11 07:50:11,docker_persistence_1,20.38%,501MiB / 7.751GiB,1,150vus
2026-04-11 07:50:11,docker_webui_1,39.99%,1.137GiB / 7.751GiB,1,150vus
2026-04-11 07:50:11,docker_recommender_1,2.12%,634.4MiB / 7.751GiB,1,150vus
2026-04-11 07:50:11,docker_image_1,1.52%,732.8MiB / 7.751GiB,1,150vus
2026-04-11 07:50:11,docker_auth_1,4.66%,789.8MiB / 7.751GiB,1,150vus
2026-04-11 07:50:11,docker_registry_1,0.60%,218.4MiB / 7.751GiB,1,150vus
2026-04-11 07:50:11,docker_db_1,2.19%,32.88MiB / 7.751GiB,1,150vus
2026-04-11 07:50:23,docker_auth_2,21.14%,1.189GiB / 7.751GiB,1,150vus
2026-04-11 07:50:23,docker_image_2,12.01%,567.3MiB / 7.751GiB,1,150vus
2026-04-11 07:50:23,docker_recommender_2,4.27%,511.2MiB / 7.751GiB,1,150vus
2026-04-11 07:50:23,docker_persistence_1,20.11%,507.7MiB / 7.751GiB,1,150vus
2026-04-11 07:50:23,docker_webui_1,37.98%,1.137GiB / 7.751GiB,1,150vus
2026-04-11 07:50:23,docker_recommender_1,0.95%,632.7MiB / 7.751GiB,1,150vus
2026-04-11 07:50:23,docker_image_1,1.65%,729.7MiB / 7.751GiB,1,150vus
2026-04-11 07:50:23,docker_auth_1,1.15%,789.3MiB / 7.751GiB,1,150vus
2026-04-11 07:50:23,docker_registry_1,1.05%,218.3MiB / 7.751GiB,1,150vus
2026-04-11 07:50:23,docker_db_1,2.01%,32.52MiB / 7.751GiB,1,150vus
2026-04-11 07:50:35,docker_auth_2,21.94%,1.184GiB / 7.751GiB,1,150vus
2026-04-11 07:50:35,docker_image_2,10.81%,567.1MiB / 7.751GiB,1,150vus
2026-04-11 07:50:35,docker_recommender_2,2.17%,511.2MiB / 7.751GiB,1,150vus
2026-04-11 07:50:35,docker_persistence_1,18.36%,507.6MiB / 7.751GiB,1,150vus
2026-04-11 07:50:35,docker_webui_1,38.87%,1.137GiB / 7.751GiB,1,150vus
2026-04-11 07:50:35,docker_recommender_1,1.27%,629.2MiB / 7.751GiB,1,150vus
2026-04-11 07:50:35,docker_image_1,0.96%,728.8MiB / 7.751GiB,1,150vus
2026-04-11 07:50:35,docker_auth_1,2.05%,788.8MiB / 7.751GiB,1,150vus
2026-04-11 07:50:35,docker_registry_1,0.74%,218.3MiB / 7.751GiB,1,150vus
2026-04-11 07:50:35,docker_db_1,1.80%,32.39MiB / 7.751GiB,1,150vus
2026-04-11 07:50:47,docker_auth_2,15.55%,1.18GiB / 7.751GiB,1,150vus
2026-04-11 07:50:47,docker_image_2,0.26%,566.4MiB / 7.751GiB,1,150vus
2026-04-11 07:50:47,docker_recommender_2,3.13%,510.9MiB / 7.751GiB,1,150vus
2026-04-11 07:50:47,docker_persistence_1,16.21%,507.5MiB / 7.751GiB,1,150vus
2026-04-11 07:50:47,docker_webui_1,66.83%,1.138GiB / 7.751GiB,1,150vus
2026-04-11 07:50:47,docker_recommender_1,3.08%,628.4MiB / 7.751GiB,1,150vus
2026-04-11 07:50:47,docker_image_1,9.77%,730.5MiB / 7.751GiB,1,150vus
2026-04-11 07:50:47,docker_auth_1,1.34%,788.2MiB / 7.751GiB,1,150vus
2026-04-11 07:50:47,docker_registry_1,0.69%,218.2MiB / 7.751GiB,1,150vus
2026-04-11 07:50:47,docker_db_1,1.51%,32.37MiB / 7.751GiB,1,150vus
2026-04-11 07:50:59,docker_auth_2,19.61%,1.18GiB / 7.751GiB,1,150vus
2026-04-11 07:50:59,docker_image_2,1.26%,565MiB / 7.751GiB,1,150vus
2026-04-11 07:50:59,docker_recommender_2,13.64%,511.3MiB / 7.751GiB,1,150vus
2026-04-11 07:50:59,docker_persistence_1,22.32%,508.2MiB / 7.751GiB,1,150vus
2026-04-11 07:50:59,docker_webui_1,40.79%,1.141GiB / 7.751GiB,1,150vus
2026-04-11 07:50:59,docker_recommender_1,1.71%,627.3MiB / 7.751GiB,1,150vus
2026-04-11 07:50:59,docker_image_1,18.42%,730.7MiB / 7.751GiB,1,150vus
2026-04-11 07:50:59,docker_auth_1,2.02%,787.8MiB / 7.751GiB,1,150vus
2026-04-11 07:50:59,docker_registry_1,0.61%,218.2MiB / 7.751GiB,1,150vus
2026-04-11 07:50:59,docker_db_1,2.12%,32.3MiB / 7.751GiB,1,150vus
2026-04-11 07:51:12,docker_auth_2,40.50%,1.178GiB / 7.751GiB,1,150vus
2026-04-11 07:51:12,docker_image_2,1.36%,563.1MiB / 7.751GiB,1,150vus
2026-04-11 07:51:12,docker_recommender_2,0.45%,514.5MiB / 7.751GiB,1,150vus
2026-04-11 07:51:12,docker_persistence_1,20.77%,508.3MiB / 7.751GiB,1,150vus
2026-04-11 07:51:12,docker_webui_1,36.72%,1.14GiB / 7.751GiB,1,150vus
2026-04-11 07:51:12,docker_recommender_1,0.20%,627.3MiB / 7.751GiB,1,150vus
2026-04-11 07:51:12,docker_image_1,16.42%,731.1MiB / 7.751GiB,1,150vus
2026-04-11 07:51:12,docker_auth_1,21.34%,787.6MiB / 7.751GiB,1,150vus
2026-04-11 07:51:12,docker_registry_1,0.56%,218.1MiB / 7.751GiB,1,150vus
2026-04-11 07:51:12,docker_db_1,2.06%,32.22MiB / 7.751GiB,1,150vus
2026-04-11 07:51:24,docker_auth_2,0.36%,1.174GiB / 7.751GiB,1,150vus
2026-04-11 07:51:24,docker_image_2,1.47%,561MiB / 7.751GiB,1,150vus
2026-04-11 07:51:24,docker_recommender_2,2.11%,511.6MiB / 7.751GiB,1,150vus
2026-04-11 07:51:24,docker_persistence_1,20.45%,506MiB / 7.751GiB,1,150vus
2026-04-11 07:51:24,docker_webui_1,36.15%,1.134GiB / 7.751GiB,1,150vus
2026-04-11 07:51:24,docker_recommender_1,1.87%,622.2MiB / 7.751GiB,1,150vus
2026-04-11 07:51:24,docker_image_1,10.31%,756.1MiB / 7.751GiB,1,150vus
2026-04-11 07:51:24,docker_auth_1,22.44%,787.4MiB / 7.751GiB,1,150vus
2026-04-11 07:51:24,docker_registry_1,0.60%,217.6MiB / 7.751GiB,1,150vus
2026-04-11 07:51:24,docker_db_1,1.90%,31.81MiB / 7.751GiB,1,150vus
2026-04-11 07:51:36,docker_auth_2,0.23%,1.173GiB / 7.751GiB,1,150vus
2026-04-11 07:51:36,docker_image_2,0.28%,561MiB / 7.751GiB,1,150vus
2026-04-11 07:51:36,docker_recommender_2,3.09%,510.5MiB / 7.751GiB,1,150vus
2026-04-11 07:51:36,docker_persistence_1,16.12%,506.5MiB / 7.751GiB,1,150vus
2026-04-11 07:51:36,docker_webui_1,30.22%,1.134GiB / 7.751GiB,1,150vus
2026-04-11 07:51:36,docker_recommender_1,1.51%,620.3MiB / 7.751GiB,1,150vus
2026-04-11 07:51:36,docker_image_1,8.23%,756.4MiB / 7.751GiB,1,150vus
2026-04-11 07:51:36,docker_auth_1,17.80%,787.9MiB / 7.751GiB,1,150vus
2026-04-11 07:51:36,docker_registry_1,0.59%,217.6MiB / 7.751GiB,1,150vus
2026-04-11 07:51:36,docker_db_1,1.77%,31.73MiB / 7.751GiB,1,150vus
2026-04-11 07:51:48,docker_auth_2,22.44%,1.172GiB / 7.751GiB,1,150vus
2026-04-11 07:51:48,docker_image_2,13.08%,561.2MiB / 7.751GiB,1,150vus
2026-04-11 07:51:48,docker_recommender_2,2.64%,509.9MiB / 7.751GiB,1,150vus
2026-04-11 07:51:48,docker_persistence_1,15.52%,506.7MiB / 7.751GiB,1,150vus
2026-04-11 07:51:48,docker_webui_1,31.87%,1.139GiB / 7.751GiB,1,150vus
2026-04-11 07:51:48,docker_recommender_1,1.99%,619.6MiB / 7.751GiB,1,150vus
2026-04-11 07:51:48,docker_image_1,6.21%,755.7MiB / 7.751GiB,1,150vus
2026-04-11 07:51:48,docker_auth_1,0.25%,787.8MiB / 7.751GiB,1,150vus
2026-04-11 07:51:48,docker_registry_1,0.65%,217.6MiB / 7.751GiB,1,150vus
2026-04-11 07:51:48,docker_db_1,1.89%,31.73MiB / 7.751GiB,1,150vus
2026-04-11 07:52:00,docker_auth_2,18.54%,1.171GiB / 7.751GiB,1,150vus
2026-04-11 07:52:00,docker_image_2,11.96%,561.7MiB / 7.751GiB,1,150vus
2026-04-11 07:52:00,docker_recommender_2,3.32%,509.7MiB / 7.751GiB,1,150vus
2026-04-11 07:52:00,docker_persistence_1,21.19%,506.8MiB / 7.751GiB,1,150vus
2026-04-11 07:52:00,docker_webui_1,38.35%,1.139GiB / 7.751GiB,1,150vus
2026-04-11 07:52:00,docker_recommender_1,1.64%,619MiB / 7.751GiB,1,150vus
2026-04-11 07:52:00,docker_image_1,1.38%,754.7MiB / 7.751GiB,1,150vus
2026-04-11 07:52:00,docker_auth_1,2.44%,787.7MiB / 7.751GiB,1,150vus
2026-04-11 07:52:00,docker_registry_1,0.56%,217.6MiB / 7.751GiB,1,150vus
2026-04-11 07:52:00,docker_db_1,2.17%,31.7MiB / 7.751GiB,1,150vus
2026-04-11 07:52:12,docker_auth_2,1.64%,1.169GiB / 7.751GiB,1,150vus
2026-04-11 07:52:12,docker_image_2,1.14%,560.2MiB / 7.751GiB,1,150vus
2026-04-11 07:52:12,docker_recommender_2,1.43%,509.9MiB / 7.751GiB,1,150vus
2026-04-11 07:52:12,docker_persistence_1,15.67%,506.7MiB / 7.751GiB,1,150vus
2026-04-11 07:52:12,docker_webui_1,33.90%,1.139GiB / 7.751GiB,1,150vus
2026-04-11 07:52:12,docker_recommender_1,1.54%,617.2MiB / 7.751GiB,1,150vus
2026-04-11 07:52:12,docker_image_1,8.85%,753MiB / 7.751GiB,1,150vus
2026-04-11 07:52:12,docker_auth_1,17.19%,787.3MiB / 7.751GiB,1,150vus
2026-04-11 07:52:12,docker_registry_1,0.92%,217.6MiB / 7.751GiB,1,150vus
2026-04-11 07:52:12,docker_db_1,1.54%,31.48MiB / 7.751GiB,1,150vus
2026-04-11 07:52:25,docker_auth_2,1.81%,1.168GiB / 7.751GiB,1,150vus
2026-04-11 07:52:25,docker_image_2,1.07%,560MiB / 7.751GiB,1,150vus
2026-04-11 07:52:25,docker_recommender_2,3.79%,511MiB / 7.751GiB,1,150vus
2026-04-11 07:52:25,docker_persistence_1,22.29%,507MiB / 7.751GiB,1,150vus
2026-04-11 07:52:25,docker_webui_1,28.09%,1.134GiB / 7.751GiB,1,150vus
2026-04-11 07:52:25,docker_recommender_1,1.19%,621.2MiB / 7.751GiB,1,150vus
2026-04-11 07:52:25,docker_image_1,11.92%,753MiB / 7.751GiB,1,150vus
2026-04-11 07:52:25,docker_auth_1,47.68%,787.3MiB / 7.751GiB,1,150vus
2026-04-11 07:52:25,docker_registry_1,0.85%,217.6MiB / 7.751GiB,1,150vus
2026-04-11 07:52:25,docker_db_1,2.10%,31.36MiB / 7.751GiB,1,150vus
2026-04-11 07:52:37,docker_auth_2,5.01%,1.168GiB / 7.751GiB,1,150vus
2026-04-11 07:52:37,docker_image_2,2.30%,559.7MiB / 7.751GiB,1,150vus
2026-04-11 07:52:37,docker_recommender_2,1.20%,510.4MiB / 7.751GiB,1,150vus
2026-04-11 07:52:37,docker_persistence_1,16.22%,507.2MiB / 7.751GiB,1,150vus
2026-04-11 07:52:37,docker_webui_1,41.70%,1.135GiB / 7.751GiB,1,150vus
2026-04-11 07:52:37,docker_recommender_1,0.21%,620.8MiB / 7.751GiB,1,150vus
2026-04-11 07:52:37,docker_image_1,12.06%,753.1MiB / 7.751GiB,1,150vus
2026-04-11 07:52:37,docker_auth_1,21.30%,787.9MiB / 7.751GiB,1,150vus
2026-04-11 07:52:37,docker_registry_1,0.56%,217.6MiB / 7.751GiB,1,150vus
2026-04-11 07:52:37,docker_db_1,1.83%,31.36MiB / 7.751GiB,1,150vus
2026-04-11 07:52:49,docker_auth_2,28.18%,1.167GiB / 7.751GiB,1,150vus
2026-04-11 07:52:49,docker_image_2,12.16%,559.6MiB / 7.751GiB,1,150vus
2026-04-11 07:52:49,docker_recommender_2,0.72%,509.9MiB / 7.751GiB,1,150vus
2026-04-11 07:52:49,docker_persistence_1,21.61%,507.1MiB / 7.751GiB,1,150vus
2026-04-11 07:52:49,docker_webui_1,56.40%,1.136GiB / 7.751GiB,1,150vus
2026-04-11 07:52:49,docker_recommender_1,0.21%,620.1MiB / 7.751GiB,1,150vus
2026-04-11 07:52:49,docker_image_1,1.28%,752.4MiB / 7.751GiB,1,150vus
2026-04-11 07:52:49,docker_auth_1,1.58%,787.7MiB / 7.751GiB,1,150vus
