timestamp,container,cpu_percent,mem_usage,run_number,scenario
2026-04-11 07:13:06,docker_auth_2,25.05%,1.237GiB / 7.751GiB,1,50vus
2026-04-11 07:13:06,docker_image_2,0.87%,702.6MiB / 7.751GiB,1,50vus
2026-04-11 07:13:06,docker_recommender_2,2.50%,482.3MiB / 7.751GiB,1,50vus
2026-04-11 07:13:06,docker_persistence_1,20.98%,388.9MiB / 7.751GiB,1,50vus
2026-04-11 07:13:06,docker_webui_1,12.16%,1.067GiB / 7.751GiB,1,50vus
2026-04-11 07:13:06,docker_recommender_1,2.89%,597.6MiB / 7.751GiB,1,50vus
2026-04-11 07:13:06,docker_image_1,1.50%,832MiB / 7.751GiB,1,50vus
2026-04-11 07:13:06,docker_auth_1,1.13%,663.1MiB / 7.751GiB,1,50vus
2026-04-11 07:13:06,docker_registry_1,0.81%,191.6MiB / 7.751GiB,1,50vus
2026-04-11 07:13:06,docker_db_1,0.12%,6.227MiB / 7.751GiB,1,50vus
2026-04-11 07:13:20,docker_auth_2,16.67%,1.226GiB / 7.751GiB,1,50vus
2026-04-11 07:13:20,docker_image_2,19.04%,714.2MiB / 7.751GiB,1,50vus
2026-04-11 07:13:20,docker_recommender_2,1.42%,464.6MiB / 7.751GiB,1,50vus
2026-04-11 07:13:20,docker_persistence_1,47.50%,435.8MiB / 7.751GiB,1,50vus
2026-04-11 07:13:20,docker_webui_1,25.53%,1.084GiB / 7.751GiB,1,50vus
2026-04-11 07:13:20,docker_recommender_1,1.94%,573.8MiB / 7.751GiB,1,50vus
2026-04-11 07:13:20,docker_image_1,1.66%,827.2MiB / 7.751GiB,1,50vus
2026-04-11 07:13:20,docker_auth_1,2.05%,647.4MiB / 7.751GiB,1,50vus
2026-04-11 07:13:20,docker_registry_1,0.83%,187.3MiB / 7.751GiB,1,50vus
2026-04-11 07:13:20,docker_db_1,1.99%,24.44MiB / 7.751GiB,1,50vus
2026-04-11 07:13:34,docker_auth_2,21.47%,1.236GiB / 7.751GiB,1,50vus
2026-04-11 07:13:34,docker_image_2,15.78%,719.5MiB / 7.751GiB,1,50vus
2026-04-11 07:13:34,docker_recommender_2,1.83%,465.4MiB / 7.751GiB,1,50vus
2026-04-11 07:13:34,docker_persistence_1,12.39%,427.5MiB / 7.751GiB,1,50vus
2026-04-11 07:13:34,docker_webui_1,24.38%,1.091GiB / 7.751GiB,1,50vus
2026-04-11 07:13:34,docker_recommender_1,2.21%,606.7MiB / 7.751GiB,1,50vus
2026-04-11 07:13:34,docker_image_1,0.40%,826.8MiB / 7.751GiB,1,50vus
2026-04-11 07:13:34,docker_auth_1,1.60%,648.1MiB / 7.751GiB,1,50vus
2026-04-11 07:13:34,docker_registry_1,0.83%,187.5MiB / 7.751GiB,1,50vus
2026-04-11 07:13:34,docker_db_1,0.81%,24.86MiB / 7.751GiB,1,50vus
2026-04-11 07:13:46,docker_auth_2,36.01%,1.229GiB / 7.751GiB,1,50vus
2026-04-11 07:13:46,docker_image_2,1.32%,719.6MiB / 7.751GiB,1,50vus
2026-04-11 07:13:46,docker_recommender_2,1.74%,463.1MiB / 7.751GiB,1,50vus
2026-04-11 07:13:46,docker_persistence_1,15.34%,428.9MiB / 7.751GiB,1,50vus
2026-04-11 07:13:46,docker_webui_1,108.28%,1.098GiB / 7.751GiB,1,50vus
2026-04-11 07:13:46,docker_recommender_1,4.40%,606.4MiB / 7.751GiB,1,50vus
2026-04-11 07:13:46,docker_image_1,34.52%,849.4MiB / 7.751GiB,1,50vus
2026-04-11 07:13:46,docker_auth_1,0.34%,645.8MiB / 7.751GiB,1,50vus
2026-04-11 07:13:46,docker_registry_1,0.71%,187.2MiB / 7.751GiB,1,50vus
2026-04-11 07:13:46,docker_db_1,0.83%,25.18MiB / 7.751GiB,1,50vus
2026-04-11 07:13:58,docker_auth_2,56.48%,1.311GiB / 7.751GiB,1,50vus
2026-04-11 07:13:58,docker_image_2,1.41%,699.6MiB / 7.751GiB,1,50vus
2026-04-11 07:13:58,docker_recommender_2,2.48%,454.5MiB / 7.751GiB,1,50vus
2026-04-11 07:13:58,docker_persistence_1,16.07%,435.3MiB / 7.751GiB,1,50vus
2026-04-11 07:13:58,docker_webui_1,35.19%,1.098GiB / 7.751GiB,1,50vus
2026-04-11 07:13:58,docker_recommender_1,2.57%,594.5MiB / 7.751GiB,1,50vus
2026-04-11 07:13:58,docker_image_1,20.89%,843.4MiB / 7.751GiB,1,50vus
2026-04-11 07:13:58,docker_auth_1,0.24%,646.8MiB / 7.751GiB,1,50vus
2026-04-11 07:13:58,docker_registry_1,0.86%,182.8MiB / 7.751GiB,1,50vus
2026-04-11 07:13:58,docker_db_1,1.46%,25.91MiB / 7.751GiB,1,50vus
2026-04-11 07:14:10,docker_auth_2,10.83%,1.301GiB / 7.751GiB,1,50vus
2026-04-11 07:14:10,docker_image_2,1.36%,693.6MiB / 7.751GiB,1,50vus
2026-04-11 07:14:10,docker_recommender_2,0.31%,465.8MiB / 7.751GiB,1,50vus
2026-04-11 07:14:10,docker_persistence_1,7.78%,435.1MiB / 7.751GiB,1,50vus
2026-04-11 07:14:10,docker_webui_1,18.71%,1.097GiB / 7.751GiB,1,50vus
2026-04-11 07:14:10,docker_recommender_1,1.71%,589.9MiB / 7.751GiB,1,50vus
2026-04-11 07:14:10,docker_image_1,9.64%,847.6MiB / 7.751GiB,1,50vus
2026-04-11 07:14:10,docker_auth_1,2.11%,646.9MiB / 7.751GiB,1,50vus
2026-04-11 07:14:10,docker_registry_1,1.01%,180.8MiB / 7.751GiB,1,50vus
2026-04-11 07:14:10,docker_db_1,1.04%,25.86MiB / 7.751GiB,1,50vus
2026-04-11 07:14:22,docker_auth_2,14.98%,1.303GiB / 7.751GiB,1,50vus
2026-04-11 07:14:22,docker_image_2,1.16%,686.3MiB / 7.751GiB,1,50vus
2026-04-11 07:14:22,docker_recommender_2,3.04%,463.2MiB / 7.751GiB,1,50vus
2026-04-11 07:14:22,docker_persistence_1,9.63%,443.4MiB / 7.751GiB,1,50vus
2026-04-11 07:14:22,docker_webui_1,27.30%,1.114GiB / 7.751GiB,1,50vus
2026-04-11 07:14:22,docker_recommender_1,1.09%,585.7MiB / 7.751GiB,1,50vus
2026-04-11 07:14:22,docker_image_1,5.02%,850.4MiB / 7.751GiB,1,50vus
2026-04-11 07:14:22,docker_auth_1,1.38%,645.6MiB / 7.751GiB,1,50vus
2026-04-11 07:14:22,docker_registry_1,0.94%,179.3MiB / 7.751GiB,1,50vus
2026-04-11 07:14:22,docker_db_1,1.35%,26.2MiB / 7.751GiB,1,50vus
2026-04-11 07:14:35,docker_auth_2,2.44%,1.298GiB / 7.751GiB,1,50vus
2026-04-11 07:14:35,docker_image_2,1.40%,682.4MiB / 7.751GiB,1,50vus
2026-04-11 07:14:35,docker_recommender_2,1.83%,464.5MiB / 7.751GiB,1,50vus
2026-04-11 07:14:35,docker_persistence_1,18.94%,443.5MiB / 7.751GiB,1,50vus
2026-04-11 07:14:35,docker_webui_1,18.09%,1.114GiB / 7.751GiB,1,50vus
2026-04-11 07:14:35,docker_recommender_1,1.50%,582.9MiB / 7.751GiB,1,50vus
2026-04-11 07:14:35,docker_image_1,7.08%,849.6MiB / 7.751GiB,1,50vus
2026-04-11 07:14:35,docker_auth_1,11.36%,673.7MiB / 7.751GiB,1,50vus
2026-04-11 07:14:35,docker_registry_1,1.08%,178.6MiB / 7.751GiB,1,50vus
2026-04-11 07:14:35,docker_db_1,1.16%,26.26MiB / 7.751GiB,1,50vus
2026-04-11 07:14:47,docker_auth_2,1.34%,1.293GiB / 7.751GiB,1,50vus
2026-04-11 07:14:47,docker_image_2,3.20%,674.4MiB / 7.751GiB,1,50vus
2026-04-11 07:14:47,docker_recommender_2,0.50%,463.2MiB / 7.751GiB,1,50vus
2026-04-11 07:14:47,docker_persistence_1,13.74%,443.6MiB / 7.751GiB,1,50vus
2026-04-11 07:14:47,docker_webui_1,22.32%,1.114GiB / 7.751GiB,1,50vus
2026-04-11 07:14:47,docker_recommender_1,0.48%,587.1MiB / 7.751GiB,1,50vus
2026-04-11 07:14:47,docker_image_1,8.88%,849.8MiB / 7.751GiB,1,50vus
2026-04-11 07:14:47,docker_auth_1,13.31%,684.2MiB / 7.751GiB,1,50vus
2026-04-11 07:14:47,docker_registry_1,0.76%,180.2MiB / 7.751GiB,1,50vus
2026-04-11 07:14:47,docker_db_1,1.27%,26.45MiB / 7.751GiB,1,50vus
2026-04-11 07:14:59,docker_auth_2,2.76%,1.291GiB / 7.751GiB,1,50vus
2026-04-11 07:14:59,docker_image_2,1.48%,672.3MiB / 7.751GiB,1,50vus
2026-04-11 07:14:59,docker_recommender_2,4.79%,462.7MiB / 7.751GiB,1,50vus
2026-04-11 07:14:59,docker_persistence_1,10.47%,443.9MiB / 7.751GiB,1,50vus
2026-04-11 07:14:59,docker_webui_1,19.79%,1.113GiB / 7.751GiB,1,50vus
2026-04-11 07:14:59,docker_recommender_1,0.32%,586MiB / 7.751GiB,1,50vus
2026-04-11 07:14:59,docker_image_1,7.37%,850.8MiB / 7.751GiB,1,50vus
2026-04-11 07:14:59,docker_auth_1,6.83%,686MiB / 7.751GiB,1,50vus
2026-04-11 07:14:59,docker_registry_1,0.98%,182.4MiB / 7.751GiB,1,50vus
2026-04-11 07:14:59,docker_db_1,0.89%,26.61MiB / 7.751GiB,1,50vus
2026-04-11 07:15:11,docker_auth_2,0.25%,1.287GiB / 7.751GiB,1,50vus
2026-04-11 07:15:11,docker_image_2,6.01%,671MiB / 7.751GiB,1,50vus
2026-04-11 07:15:11,docker_recommender_2,2.46%,458.9MiB / 7.751GiB,1,50vus
2026-04-11 07:15:11,docker_persistence_1,8.11%,443.7MiB / 7.751GiB,1,50vus
2026-04-11 07:15:11,docker_webui_1,20.05%,1.117GiB / 7.751GiB,1,50vus
2026-04-11 07:15:11,docker_recommender_1,2.98%,589.3MiB / 7.751GiB,1,50vus
2026-04-11 07:15:11,docker_image_1,0.30%,849.6MiB / 7.751GiB,1,50vus
2026-04-11 07:15:11,docker_auth_1,26.59%,687.1MiB / 7.751GiB,1,50vus
2026-04-11 07:15:11,docker_registry_1,0.89%,184.3MiB / 7.751GiB,1,50vus
2026-04-11 07:15:11,docker_db_1,1.24%,26.82MiB / 7.751GiB,1,50vus
2026-04-11 07:15:23,docker_auth_2,1.16%,1.283GiB / 7.751GiB,1,50vus
2026-04-11 07:15:23,docker_image_2,6.89%,671MiB / 7.751GiB,1,50vus
2026-04-11 07:15:23,docker_recommender_2,1.14%,457.4MiB / 7.751GiB,1,50vus
2026-04-11 07:15:23,docker_persistence_1,9.37%,444MiB / 7.751GiB,1,50vus
2026-04-11 07:15:23,docker_webui_1,12.96%,1.117GiB / 7.751GiB,1,50vus
