timestamp,container,cpu_percent,mem_usage,run_number,scenario
2026-04-10 10:30:59,docker_auth_2,4.48%,714.2MiB / 7.751GiB,2,10vus
2026-04-10 10:30:59,docker_image_2,4.29%,829.2MiB / 7.751GiB,2,10vus
2026-04-10 10:30:59,docker_recommender_2,2.15%,542.4MiB / 7.751GiB,2,10vus
2026-04-10 10:30:59,docker_persistence_1,39.66%,624.9MiB / 7.751GiB,2,10vus
2026-04-10 10:30:59,docker_webui_1,3.85%,1012MiB / 7.751GiB,2,10vus
2026-04-10 10:30:59,docker_recommender_1,4.80%,673.9MiB / 7.751GiB,2,10vus
2026-04-10 10:30:59,docker_image_1,3.33%,955.1MiB / 7.751GiB,2,10vus
2026-04-10 10:30:59,docker_auth_1,2.65%,769.9MiB / 7.751GiB,2,10vus
2026-04-10 10:30:59,docker_registry_1,1.19%,210MiB / 7.751GiB,2,10vus
2026-04-10 10:30:59,docker_db_1,0.13%,70.65MiB / 7.751GiB,2,10vus
2026-04-10 10:31:12,docker_auth_2,4.57%,713.7MiB / 7.751GiB,2,10vus
2026-04-10 10:31:12,docker_image_2,52.49%,825.2MiB / 7.751GiB,2,10vus
2026-04-10 10:31:12,docker_recommender_2,0.80%,551.7MiB / 7.751GiB,2,10vus
2026-04-10 10:31:12,docker_persistence_1,5.83%,618.9MiB / 7.751GiB,2,10vus
2026-04-10 10:31:12,docker_webui_1,13.94%,1005MiB / 7.751GiB,2,10vus
2026-04-10 10:31:12,docker_recommender_1,0.84%,675.3MiB / 7.751GiB,2,10vus
2026-04-10 10:31:12,docker_image_1,1.98%,954.5MiB / 7.751GiB,2,10vus
2026-04-10 10:31:12,docker_auth_1,6.16%,770.8MiB / 7.751GiB,2,10vus
2026-04-10 10:31:12,docker_registry_1,0.87%,211.5MiB / 7.751GiB,2,10vus
2026-04-10 10:31:12,docker_db_1,0.40%,70.59MiB / 7.751GiB,2,10vus
2026-04-10 10:31:24,docker_auth_2,0.29%,713.8MiB / 7.751GiB,2,10vus
2026-04-10 10:31:24,docker_image_2,4.78%,825.3MiB / 7.751GiB,2,10vus
2026-04-10 10:31:24,docker_recommender_2,41.27%,552MiB / 7.751GiB,2,10vus
2026-04-10 10:31:24,docker_persistence_1,8.90%,619.1MiB / 7.751GiB,2,10vus
2026-04-10 10:31:24,docker_webui_1,9.24%,1005MiB / 7.751GiB,2,10vus
2026-04-10 10:31:24,docker_recommender_1,7.00%,675.4MiB / 7.751GiB,2,10vus
2026-04-10 10:31:24,docker_image_1,2.11%,954.4MiB / 7.751GiB,2,10vus
2026-04-10 10:31:24,docker_auth_1,17.71%,771.4MiB / 7.751GiB,2,10vus
2026-04-10 10:31:24,docker_registry_1,1.01%,211.6MiB / 7.751GiB,2,10vus
2026-04-10 10:31:24,docker_db_1,0.27%,70.61MiB / 7.751GiB,2,10vus
2026-04-10 10:31:36,docker_auth_2,4.02%,702.1MiB / 7.751GiB,2,10vus
2026-04-10 10:31:36,docker_image_2,2.10%,818MiB / 7.751GiB,2,10vus
2026-04-10 10:31:36,docker_recommender_2,4.20%,549.6MiB / 7.751GiB,2,10vus
2026-04-10 10:31:36,docker_persistence_1,1.36%,609.6MiB / 7.751GiB,2,10vus
2026-04-10 10:31:36,docker_webui_1,3.49%,1.044GiB / 7.751GiB,2,10vus
2026-04-10 10:31:36,docker_recommender_1,5.34%,672MiB / 7.751GiB,2,10vus
2026-04-10 10:31:36,docker_image_1,8.83%,937.8MiB / 7.751GiB,2,10vus
2026-04-10 10:31:36,docker_auth_1,1.05%,763.3MiB / 7.751GiB,2,10vus
2026-04-10 10:31:36,docker_registry_1,1.46%,209.5MiB / 7.751GiB,2,10vus
2026-04-10 10:31:36,docker_db_1,0.37%,69.82MiB / 7.751GiB,2,10vus
2026-04-10 10:31:48,docker_auth_2,3.91%,703.3MiB / 7.751GiB,2,10vus
2026-04-10 10:31:48,docker_image_2,2.21%,818.5MiB / 7.751GiB,2,10vus
